Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
FBS,Food Balance Sheets,5000,World,664,Food supply (kcal/capita/day),2611,"Oranges, Mandarines",2013,2013,kcal/capita/day,9,Fc,Calculated data
FBS,Food Balance Sheets,5000,World,664,Food supply (kcal/capita/day),2547,Peas,2013,2013,kcal/capita/day,8,Fc,Calculated data
FBS,Food Balance Sheets,5000,World,664,Food supply (kcal/capita/day),2582,Maize Germ Oil,2013,2013,kcal/capita/day,8,Fc,Calculated data
FBS,Food Balance Sheets,5000,World,664,Food supply (kcal/capita/day),2616,Plantains,2013,2013,kcal/capita/day,8,Fc,Calculated data
FBS,Food Balance Sheets,5000,World,664,Food supply (kcal/capita/day),2763,Pelagic Fish,2013,2013,kcal/capita/day,8,Fc,Calculated data
FBS,Food Balance Sheets,5000,World,664,Food supply (kcal/capita/day),2513,Barley and products,2013,2013,kcal/capita/day,7,Fc,Calculated data
FBS,Food Balance Sheets,5000,World,664,Food supply (kcal/capita/day),2576,Palmkernel Oil,2013,2013,kcal/capita/day,7,Fc,Calculated data
FBS,Food Balance Sheets,5000,World,664,Food supply (kcal/capita/day),2578,Coconut Oil,2013,2013,kcal/capita/day,7,Fc,Calculated data
FBS,Food Balance Sheets,5000,World,664,Food supply (kcal/capita/day),2620,Grapes and products (excl wine),2013,2013,kcal/capita/day,7,Fc,Calculated data
FBS,Food Balance Sheets,5000,World,664,Food supply (kcal/capita/day),2645,"Spices, Other",2013,2013,kcal/capita/day,7,Fc,Calculated data
FBS,Food Balance Sheets,5000,World,664,Food supply (kcal/capita/day),2736,"Offals, Edible",2013,2013,kcal/capita/day,7,Fc,Calculated data
FBS,Food Balance Sheets,5000,World,664,Food supply (kcal/capita/day),2515,Rye and products,2013,2013,kcal/capita/day,6,Fc,Calculated data
FBS,Food Balance Sheets,5000,World,664,Food supply (kcal/capita/day),2520,"Cereals, Other",2013,2013,kcal/capita/day,6,Fc,Calculated data
FBS,Food Balance Sheets,5000,World,664,Food supply (kcal/capita/day),2534,"Roots, Other",2013,2013,kcal/capita/day,6,Fc,Calculated data
FBS,Food Balance Sheets,5000,World,664,Food supply (kcal/capita/day),2586,"Oilcrops Oil, Other",2013,2013,kcal/capita/day,6,Fc,Calculated data
